id,name,category,formula,source_type,source,n_inputs,operates_on,expected_gain,implementation_complexity,sym_robustness_concern,date_robustness_concern,notes
F155,csec_demean_jshare_W30,cross_sectional,jshare_W30[i] - mean(jshare_W30),paper,BNS 2006 jump,1+5,jshare,low,easy,high,medium,jshare commonality (jshare is noisy across syms)
F156,csec_demean_roll_spr,cross_sectional,roll_eff_spr[i] - mean(roll_eff_spr),paper,Roll 1984 + commonality,1+5,roll_eff,low,easy,medium,low,Roll spread commonality
F157,pair_dot_imb_ofi_pair,pair_interaction,imb1[i]*OFI[i] - imb1[j]*OFI[j],paper,Stoikov+Cont composite,2,imb1+ofi,high,easy,low,low,microprice-pressure pair diff
F158,pair_dot_depth_ofi_pair,pair_interaction,depth[i]*OFI[i] - depth[j]*OFI[j],paper,Cont 2014 size-weighted,2,depth+ofi,medium,easy,low,low,depth-scaled OFI diff
F159,pair_OFI_strength_norm,pair_interaction,OFI[i]/depth[i] - OFI[j]/depth[j],paper,Cross-Impact normalized,2,ofi+depth,medium,easy,low,low,depth-normalized OFI diff
F160,pair_OFI_pressure_pair,pair_interaction,(OFI[i]/depth[i]) * (OFI[j]/depth[j]),paper,Stoikov microprice,2,ofi+depth,medium,easy,low,low,joint pressure
F161,pair_mp_change_match,pair_interaction,sign(delta_mid_W5[i])==sign(delta_mid_W5[j]) ? 1:0,paper,Lead-lag binary,2,delta_mid,low,easy,low,low,co-direction of recent mid changes
F162,csec_demean_quote_intensity,cross_sectional,quote_int[i] - mean(quote_int),paper,Hasbrouck VAR,1+5,quote_intensity,low,easy,high,medium,sym-variable; check robust
F163,csec_demean_trade_intensity,cross_sectional,trade_int[i] - mean(trade_int),paper,Easley 2012,1+5,trade_intensity,low,easy,high,medium,trade rate demeaned
F164,csec_winsorized_zscore_ret,cross_sectional,winsorize(logret[i] [-3 3]) then z-score,blog,Numerai best practice,1+5,logret,medium,easy,medium,low,outlier-robust z-score
F165,csec_signed_rank_ret_W20,cross_sectional,(rank(logret_W20[i])-(N+1)/2)/(N/2) -> [-1 1],paper,Alpha101 signed rank,1+5,logret_W20,medium,easy,low,low,centered signed rank
F166,csec_market_proxy_ret,cross_sectional,equal-weighted mean(logret[0..4]) -> broadcast,paper,Sirignano-Cont 2019 universal,5,logret,medium,easy,low,low,equal-weighted market return proxy
F167,csec_market_proxy_ret_volwt,cross_sectional,volume-weighted mean(logret[0..4]) -> broadcast,paper,Hou-Robinson cov,5,logret+volume,medium,easy,medium,low,VW market return proxy
F168,csec_market_proxy_OFI,cross_sectional,mean(OFI[0..4]) -> broadcast,paper,Cross-Impact 2023,5,ofi,medium,easy,low,low,market OFI proxy
F169,csec_market_proxy_imb1,cross_sectional,mean(imb1[0..4]) -> broadcast,paper,Stoikov + commonality,5,imb1,medium,easy,low,low,market imb1 proxy
F170,sym_pair_corr_OFI_W20,pair_lagless,corr coefficient(OFI_W20[i] OFI_W20[j]) over training-day frozen,paper,Cross-Impact correlation,2,ofi_W20+train,low,medium,high,medium,frozen pair corr (might be too sym-fragile and require careful train)
F171,sym_pair_corr_ret_W20,pair_lagless,frozen training-period corr(logret_W20[i] logret_W20[j]) -> scalar,paper,Mantegna correlation,2,logret_W20+train,low,medium,high,medium,frozen pair corr
F172,csec_intersection_imb_dir,cross_sectional,sum_k(sign(imb1[k])==sign(imb1[i]))/5,paper,Co-direction frequency,1+5,imb1,low,easy,low,low,fraction of syms with same imb direction as i
F173,csec_intersection_OFI_dir,cross_sectional,sum_k(sign(OFI[k])==sign(OFI[i]))/5,paper,Cross-Impact co-direction,1+5,ofi,medium,easy,low,low,fraction of syms with same OFI direction
F174,pair_diff_log_volume_W20,pair_relative,log(vol_W20[i]+1) - log(vol_W20[j]+1),paper,Multi-asset volume,2,volume_W20,medium,easy,low,low,log-volume pair diff
F175,pair_outer_product_OFI_imb,pair_interaction,OFI[i]*imb1[i] - OFI[j]*imb1[j],paper,Cross-Impact + Stoikov,2,ofi+imb1,high,easy,low,low,signed pressure pair diff
F176,csec_inv_kyle_normalized,cross_sectional,kyleinv[i] / mean(kyleinv) - 1,paper,Kyle + normalize,1+5,kyleinv,low,easy,medium,low,relative impact coef (multiplicative)
F177,pair_mid_pct_change_diff,pair_relative,(mid_W5[i]/mid_W30[i]-1) - (mid_W5[j]/mid_W30[j]-1),paper,Momentum diff Avellaneda,2,mid,medium,easy,low,low,pair short-vs-long momentum diff
F178,csec_skew_OFI,cross_sectional,skew(OFI[0..4]) -> broadcast,paper,Cross-Impact higher-moment,5,ofi,low,easy,low,low,OFI skewness
F179,pair_diff_microprice_imb,pair_relative,(microprice[i]-mid[i]) - (microprice[j]-mid[j]),paper,Stoikov 2017,2,microprice+mid,high,easy,low,low,microprice excess gap pair diff
F180,csec_microprice_excess_demean,cross_sectional,(microprice[i]-mid[i]) - mean over syms,paper,Stoikov + commonality,1+5,microprice+mid,high,easy,low,low,microprice excess demeaned
F181,csec_volume_pressure,cross_sectional,asksz1[i]*(asksz1[i]>0) - bidsz1[i]*(bidsz1[i]>0) demeaned across syms,paper,Stoikov,1+5,size,medium,easy,low,low,size pressure demean
F182,pair_diff_ofitox_share,pair_relative,ofi_tox[i]/sum_k ofi_tox[k] - ofi_tox[j]/sum_k ofi_tox[k],paper,VPIN cross share,2+5,ofi_tox,low,medium,medium,low,toxicity share diff
F183,csec_relative_factor_share,cross_sectional,OFI[i]*spread[i] - mean(OFI[k]*spread[k]),paper,Stoikov + commonality,1+5,ofi+spread,medium,medium,low,low,impact*liquidity demeaned
F184,csec_winsorized_imb,cross_sectional,winsorize(imb1[i] [-1 1]) then z-score,blog,Numerai best practice,1+5,imb1,medium,easy,low,low,robust imb z-score
F185,csec_log_volume_share,cross_sectional,log(volume[i]+1)/log(sum_k(volume[k])+1),paper,Multi-asset commonality,1+5,volume,medium,easy,low,low,log-volume share
F186,pair_diff_VWAP_W20,pair_relative,VWAP_W20[i] - VWAP_W20[j],paper,Avellaneda VWAP,2,vwap_W20,medium,easy,medium,low,VWAP pair diff
F187,csec_mean_VWAP_dev,cross_sectional,VWAP[i] - mean(VWAP),paper,Avellaneda 2010,1+5,vwap,medium,easy,medium,low,VWAP commonality removed
F188,csec_relret_vwap,cross_sectional,(mid[i]-VWAP[i]) - mean over syms,paper,Avellaneda mean reversion,1+5,mid+vwap,medium,easy,medium,low,relative price vs VWAP commonality
F189,pair_mid_div_VWAP,pair_relative,(mid[i]-VWAP[i]) - (mid[j]-VWAP[j]),paper,Avellaneda 2010,2,mid+vwap,medium,easy,medium,low,relative price-vs-VWAP gap diff
F190,csec_sum_OFI_per_W5,cross_sectional,OFI_W5[i] / sum_k OFI_W5[k] (signed share),paper,Cross-Impact share,1+5,ofi_W5,medium,easy,low,low,signed share of cross-sym OFI
F191,csec_normalized_imb_pressure,cross_sectional,(imb1[i]*depth[i]) - mean over syms,paper,Stoikov 2017,1+5,imb1+depth,high,easy,low,low,size-weighted imbalance demeaned
F192,pair_share_volume_W,pair_relative,(volume[i] / (volume[i]+volume[j])) - 0.5,paper,Multi-asset commonality,2,volume,medium,easy,medium,low,relative volume share between i and j
F193,csec_microprice_minus_avg,cross_sectional,microprice[i] - equal_weight_mean(microprice[0..4]),paper,Stoikov 2017,1+5,microprice,high,easy,low,low,microprice market-neutral
F194,csec_logret_W5_minus_factor,cross_sectional,logret_W5[i] - alpha[i] - beta[i]*market_proxy (alpha beta frozen),paper,Hasbrouck 1995 / Sirignano 2019,1+5,logret_W5,medium,medium,medium,medium,factor-model residual (frozen beta = sym-specific concern; use beta=1)
F195,pair_OFI_diff_norm_depth,pair_relative,(OFI[i]/depth[i]) - (OFI[j]/depth[j]),paper,Cont 2014 normalized,2,ofi+depth,high,easy,low,low,depth-normalized OFI pair diff
F196,pair_OFI_diff_norm_volume,pair_relative,(OFI_W20[i]/volume_W20[i]) - (OFI_W20[j]/volume_W20[j]),paper,Cross-Impact normalized,2,ofi+volume,medium,easy,medium,low,volume-normalized OFI diff
F197,csec_neutralized_logret_minus_eta,cross_sectional,logret[i] - mean(logret) when |mean(logret)| > eta else 0,paper,Numerai denoising,1+5,logret,low,medium,low,low,thresholded market-residual (denoise)
F198,sym_pair_corr_proxy_inst,pair_lagless,sign(logret_inst[i]) * sign(logret_inst[j]) (instantaneous return co-direction),paper,Lead-lag binary proxy,2,logret_inst,low,easy,low,low,coarse pair co-move binary
F199,csec_mean_excess_ret,cross_sectional,logret[i] - vol_weighted_mean(logret),paper,Vol-weighted market proxy,1+5,logret+vol,medium,easy,medium,low,vol-weighted market-neutral
F200,csec_relative_strength,cross_sectional,rank(logret_W20[i]) - rank(logret_W60[i]) (acc/dec),paper,Alpha101 momentum diff,1+5,logret,medium,easy,low,low,relative strength change (acceleration)
F201,csec_ts_neutralize_OFI,cross_sectional,OFI[i] - mean over syms then z-score across syms,paper,Numerai double-neutralize,1+5,ofi,high,easy,low,low,demean + zscore (Numerai-style)
F202,csec_ts_neutralize_imb1,cross_sectional,imb1[i] demean+zscore,paper,Numerai + Stoikov,1+5,imb1,high,easy,low,low,demean + zscore imb1
F203,csec_ts_neutralize_microprice,cross_sectional,microprice excess demean+zscore,paper,Numerai + Stoikov,1+5,microprice,high,easy,low,low,demean + zscore microprice
F204,sym_pair_diff_microprice_pair,pair_relative,microprice[i] - microprice[j],paper,Stoikov 2017,2,microprice,high,easy,low,low,microprice pair diff (raw)
F205,sym_pair_attention_softmax_mid,pair_interaction,sum_j softmax(-|mid[i]-mid[j]|*tau) * (mid[j]-mid[i]),paper,Self-attention proxy (closed-form),5,mid,low,medium,low,low,closed-form attention over sym (5 sym; not learned)
